T:	0_1_*T_c	0_9_*T_c	2_*T_c	
t_eq:	1463	10839	3	
Energy:	-2.0	-1.7131405245455498	-0.47897719693159085	
Stat error Energy:	0.0	0.5727236111344872	0.0289423243211645	
Correlation time - Energy:	374.7784243718158	483.6190626491668	1.1421851180208176	
Magnetization:	1.0	0.8959668642415136	0.01458059374178122	
Correlation time - Magn:	584.4597429603974	604.5310771511737	0.06558610934515685	
Stat error Magn:	0.0	0.3643152327469184	0.011723979928274106	
C_v:	0.0	0.812236701836858	0.12382671446739009	
X:	0.0	0.5370739273434167	0.26774477715568024	
# uncorrelated measures n:	17.10981829021814	16.541746781860354	8755.148217416836	
